studynum,study_id,bm_GN_RS,Author_Year,PointQual_Represent012,PointQual_Selection012,PointQual_Exposure012,PointQual_OutcDef012,PointQual_FUPduration012,PointQual_FUPlost012,PointQual_TOTALcov012,PointQual_TOTALtrad012,PointQual_TotalScore012,total_cov,total_trad,BiasRiskTotal,PointQual_Represent,PointQual_Selection,PointQual_Exposure,PointQual_OutcDef,PointQual_FUPduration,PointQual_FUPlost,PointQual_TOTALcov,PointQual_TOTALtrad,PointQual_TotalScore
10207,#10207,BM,Stehouwer 1999,hig,med,hig,hig,hig,hig,hig,hig,High,14,13,Low,3,2,2,3,1,3,4,6,24
10168,#10168,BM,Strojek 2016,hig,med,hig,hig,hig,low,hig,hig,High,12,9,Low,3,2,2,3,3,0,3,4,20
10144,#10144,BM,Sultan 2006,hig,med,hig,hig,hig,med,low,low,Low,2,2,High,3,2,2,3,3,2,1,0,16
10121,#10121,BM,Svendstrup 2013,med,med,hig,hig,hig,hig,low,low,Low,3,3,High,2,2,2,3,1,3,1,0,14
10088,#10088,BM,Takao 2017,low,med,med,low,hig,med,med,med,Low,8,8,High,0,2,1,0,1,2,2,4,12
9656,#9656,BM,Theilade 2016,low,med,hig,hig,hig,hig,low,med,Med,5,5,Med.,1,2,2,3,3,3,1,2,17
9643,#9643,BM,Thomas 2018,hig,med,hig,hig,hig,hig,hig,hig,High,18,12,Low,3,2,2,3,1,3,4,6,24
379,#379,BM,Tian 2019,med,med,hig,med,hig,low,hig,hig,Med,20,18,Med.,2,2,2,2,1,0,4,6,19
9615,#9615,BM,Tobias 2018,hig,med,hig,hig,hig,low,hig,med,Med,14,6,Med.,3,2,2,3,1,0,4,2,17
10386,#10386,BM,Umamahesh 2014,hig,med,hig,hig,hig,hig,med,med,Med,7,6,Med.,3,2,2,3,1,3,2,2,18
9546,#9546,BM,Vanzetto 1999,med,med,hig,hig,hig,low,low,low,Low,3,3,High,2,2,2,3,1,0,1,0,11
9535,#9535,BM,Vavruch 2020,hig,med,hig,med,hig,hig,med,med,Med,7,7,Med.,3,2,2,2,1,3,2,4,19
9530,#9530,BM,Velho 2018,hig,med,hig,hig,hig,hig,hig,hig,High,14,13,Low,3,1,2,3,1,3,4,6,23
9522,#9522,BM,Vengen 2010,hig,med,hig,hig,hig,hig,med,med,Med,6,6,Med.,3,2,2,3,1,3,2,2,18
9519,#9519,BM,Venskutonyte 2013,low,med,hig,hig,hig,hig,low,med,Low,5,5,High,1,2,2,3,1,3,1,2,15
9517,#9517,BM,Venuraju 2019,hig,med,hig,hig,hig,med,hig,hig,High,12,11,Low,3,2,2,3,1,2,3,6,22
9516,#9516,BM,Venuraju 2021,hig,med,hig,med,hig,low,med,low,Low,7,2,High,3,2,2,2,3,0,2,0,14
9514,#9514,BM,VepsÃ¤lÃ¤inen 2012,low,low,low,hig,hig,hig,hig,hig,Med,18,15,Med.,0,0,0,3,1,3,4,6,17
9418,#9418,BM,Wallander 2007,low,med,hig,hig,hig,med,low,low,Low,3,2,High,1,2,2,3,1,2,1,0,12
9408,#9408,BM,Wan 2016,hig,med,hig,hig,hig,med,hig,hig,High,18,15,Low,3,2,2,3,1,2,4,6,23
10069,#10069,BM,Wei 1998,med,med,hig,hig,hig,med,low,med,Low,4,4,High,2,2,2,3,1,2,1,2,15
10033,#10033,BM,Wijkman 2016,low,med,hig,med,hig,hig,med,med,Med,9,8,Med.,1,2,2,2,1,3,3,4,18
10034,#10034,BM,Wijkman 2016a,med,med,hig,hig,hig,med,med,med,Med,7,7,Med.,2,2,2,3,1,2,2,4,18
9995,#9995,BM,Wolsk 2017,med,med,hig,hig,hig,hig,hig,hig,High,14,11,Low,2,2,2,3,1,3,4,6,23
9987,#9987,BM,Wong 2019,hig,med,hig,hig,hig,hig,low,low,Low,4,3,High,3,2,2,3,1,3,1,0,15
9918,#9918,BM,Yamasaki 2000,hig,med,hig,hig,hig,hig,med,med,High,9,7,Low,3,2,2,3,1,3,3,4,21
9886,#9886,BM,Yang 2015,low,med,hig,hig,hig,med,hig,hig,High,14,11,Low,1,2,2,3,1,2,4,6,21
9895,#9895,BM,Yang 2017,low,med,hig,hig,hig,med,hig,hig,High,14,10,Low,1,2,2,3,1,2,4,6,21
9896,#9896,BM,Yang 2017a,med,med,hig,hig,hig,med,hig,hig,High,12,9,Low,2,2,2,3,3,2,3,4,21
9904,#9904,BM,Yang 2019,hig,med,hig,hig,hig,low,hig,hig,High,11,11,Low,3,2,2,3,1,0,3,6,20
10306,#10306,BM,Yeboah 2019,med,med,hig,hig,hig,low,hig,hig,High,15,14,Low,2,2,2,3,1,0,4,6,20
10295,#10295,BM,Yiu 2014,med,med,hig,hig,hig,hig,med,med,Med,6,6,Med.,2,2,2,3,1,3,2,2,17
9876,#9876,BM,Yoshimura 2006,low,med,hig,low,hig,med,med,med,Low,8,8,High,1,2,2,0,1,2,2,4,14
9850,#9850,BM,Yun 2018,hig,med,hig,hig,hig,low,low,med,Low,5,5,High,3,2,2,3,1,0,1,2,14
9846,#9846,BM,Zafrir 2015,hig,med,hig,hig,hig,hig,hig,hig,High,13,12,Low,3,2,2,3,1,3,4,6,24
9845,#9845,BM,Zafrir 2016,low,med,hig,hig,hig,hig,hig,hig,High,15,14,Low,1,2,2,3,1,3,4,6,22
9786,#9786,BM,Zhao 2020,low,med,hig,low,hig,hig,hig,hig,High,31,21,Low,1,2,2,1,1,3,4,6,20
9760,#9760,BM,Zimering 2011,med,med,hig,hig,hig,hig,low,low,Low,2,2,High,2,2,2,3,1,3,1,0,14
11,#11,BM,Zimering 2013,med,med,hig,hig,hig,hig,low,low,Low,5,2,High,2,2,2,3,1,3,1,0,14
9751,#9751,BM,Zobel 2017,med,med,hig,hig,hig,hig,hig,med,High,10,8,Low,2,2,2,3,1,3,3,4,20
9745,#9745,BM,Zoppini 2010,low,med,hig,hig,hig,med,low,low,Low,3,3,High,1,2,2,3,1,2,1,0,12
14331,#14331,BM,deGalan 2009,low,med,hig,hig,hig,med,hig,hig,High,15,13,Low,1,2,2,3,1,2,4,6,21
13713,#13713,BM,deSantiago 2007,hig,med,hig,hig,hig,hig,low,med,Med,4,4,Med.,3,2,2,3,1,3,1,2,17
13709,#13709,BM,deVries 2019,med,med,hig,hig,hig,med,med,med,Med,8,8,Med.,2,2,2,3,1,2,2,4,18
15050,#15050,BM,vanderLeeuw 2016,hig,med,hig,med,hig,hig,hig,hig,High,11,10,Low,3,2,2,2,1,3,3,6,22
9459,#9459,BM,vonScholten 2015,low,med,hig,hig,hig,hig,hig,hig,Med,10,9,Med.,1,2,2,3,1,3,3,4,19
9457,#9457,BM,vonScholten 2016,low,med,hig,hig,hig,hig,med,med,Med,9,8,Med.,1,2,2,3,1,3,3,4,19
9458,#9458,BM,vonScholten 2016a,med,med,hig,hig,hig,hig,hig,med,High,10,8,Low,2,2,2,3,1,3,3,4,20
9734,#9734,BM,Østergaard 2019,hig,med,hig,hig,hig,hig,hig,hig,High,10,10,Low,3,2,2,3,1,3,3,6,23
2369,#2369,GN,Doney 2005,hig,med,hig,med,hig,hig,,,Med,7,6,Med.,3,2,2,2,1,3,,,13
735,#735,GN,Satirapoj 2019,low,med,hig,hig,hig,hig,,,Low,0,0,High,1,2,2,3,1,3,,,12
434,#434,GN,Tan 2020,hig,med,hig,hig,hig,med,,,Med,8,6,Med.,3,2,2,3,1,2,,,13
14225,#14225,GN,Alkhalaf 2015,low,med,hig,hig,hig,med,,,Low,11,11,High,1,2,2,3,1,2,,,11
14742,#14742,GN,Bacci 2011,low,med,hig,med,hig,med,,,Low,1,0,High,0,2,2,2,1,2,,,9
15036,#15036,GN,Baeney 2016,hig,med,hig,hig,hig,med,,,Med,1,1,Med.,3,2,2,3,1,2,,,13
15047,#15047,GN,Bernard 2004,low,med,hig,hig,hig,hig,,,Low,6,5,High,1,2,2,3,1,3,,,12
14400,#14400,GN,Boger 2005,low,med,hig,low,hig,med,,,Low,2,2,High,1,2,2,0,1,2,,,8
14853,#14853,GN,Cox 2014,low,med,hig,hig,hig,hig,,,Low,7,6,High,1,2,2,3,1,3,,,12
13343,#13343,GN,Doney 2005a,hig,med,hig,med,hig,hig,,,Med,1,1,Med.,3,2,2,2,1,3,,,13
13344,#13344,GN,Doney 2009,hig,med,hig,low,hig,med,,,Low,10,9,High,3,2,2,0,1,2,,,10
15062,#15062,GN,"Ferrarezi, 2013",hig,med,hig,hig,hig,hig,,,High,4,4,Low,3,2,2,3,1,3,,,14
15057,#15057,GN,"Hadjadj, 2008",low,med,hig,hig,hig,hig,,,Low,7,6,High,1,2,2,3,1,3,,,12
15051,#15051,GN,He 2021,hig,med,hig,hig,hig,med,,,High,2,2,Low,3,2,2,3,3,1,,,14
15054,#15054,GN,"Heijmans, 2000",low,med,hig,hig,hig,med,,,Low,2,2,High,1,2,2,3,1,2,,,11
15040,#15040,GN,Ho 2012,low,med,hig,hig,hig,hig,,,Low,18,15,High,1,2,2,3,1,3,,,12
12952,#12952,GN,Hoffman (2011),med,med,hig,hig,hig,hig,,,Med,15,12,Med.,2,2,2,3,1,3,,,13
15053,#15053,GN,"Hong Huang, 1998",hig,med,hig,hig,hig,hig,,,High,7,5,Low,3,2,2,3,1,3,,,14
15035,#15035,GN,Huggins 2016,med,med,hig,hig,hig,hig,,,Med,5,2,Med.,2,2,2,3,1,3,,,13
15045,#15045,GN,Katakami 2014,hig,med,hig,hig,hig,hig,,,High,2,2,Low,3,2,2,3,1,3,,,14
15072,#15072,GN,"Keavney, 1995",hig,med,hig,hig,hig,med,,,Med,7,6,Med.,3,2,2,3,1,2,,,13
12243,#12243,GN,Kuricová 2013,hig,med,hig,low,hig,hig,,,Low,3,3,High,3,2,2,0,1,3,,,11
12115,#12115,GN,Levy (2002),hig,med,hig,hig,hig,hig,,,High,11,8,Low,3,2,2,3,1,3,,,14
12447,#12447,GN,Lu (2011),low,med,hig,hig,hig,hig,,,High,1,0,Low,1,2,2,3,3,3,,,14
15056,#15056,GN,"Lu Qi, 2005",low,med,hig,hig,hig,hig,,,Low,9,7,High,1,2,2,3,1,3,,,12
15037,#15037,GN,Mccaffery 2015,low,med,hig,hig,hig,med,,,Low,7,6,High,1,2,2,3,1,2,,,11
15044,#15044,GN,Mohammedi 2015,med,med,hig,hig,hig,hig,,,Med,10,9,Med.,2,2,2,3,1,3,,,13
11705,#11705,GN,Morieri 2018,hig,med,hig,hig,hig,med,,,Med,13,12,Med.,3,2,2,3,1,2,,,13
15061,#15061,GN,Neves AL 2012,hig,med,hig,hig,hig,hig,,,High,12,10,Low,3,2,2,3,1,3,,,14
11323,#11323,GN,Odeberg 2008,hig,med,hig,med,hig,hig,,,Med,6,4,Med.,3,2,2,2,1,3,,,13
11263,#11263,GN,Ortega Moreno 2016,med,med,hig,hig,hig,med,,,Low,10,9,High,2,2,2,3,1,2,,,12
15065,#15065,GN,PYK Poon · 2014,low,med,hig,med,hig,hig,,,Low,2,1,High,1,2,2,2,1,3,,,11
10976,#10976,GN,Poon (2010),low,med,hig,hig,hig,hig,,,Low,11,9,High,1,2,2,3,1,3,,,12
15058,#15058,GN,"Porchay-Baldérelli , 2009",low,med,hig,hig,hig,hig,,,Low,10,9,High,1,2,2,3,1,3,,,12
10968,#10968,GN,Porchay-Baldérelli 2007,med,med,hig,hig,hig,hig,,,Med,15,12,Med.,2,2,2,3,1,3,,,13
11480,#11480,GN,Qi 2011,hig,med,hig,hig,med,low,,,Low,7,7,High,3,2,2,3,0,0,,,10
15046,#15046,GN,Qi 2012,hig,med,hig,hig,hig,hig,,,High,2,2,Low,3,2,2,3,1,3,,,14
15034,#15034,GN,Qi 2013,hig,med,hig,hig,hig,hig,,,High,0,0,Low,3,2,2,3,1,3,,,14
10732,#10732,GN,Roumeliotis (2017),low,med,hig,hig,hig,med,,,Low,18,14,High,1,2,2,3,1,2,,,11
15067,#15067,GN,"Roumeliotis, 2018",low,med,hig,hig,hig,hig,,,Low,15,12,High,1,2,2,3,1,3,,,12
10710,#10710,GN,Russo 2011,hig,med,hig,hig,hig,med,,,Med,10,8,Med.,3,2,2,3,1,2,,,13
15073,#15073,GN,So 2008,med,med,hig,low,hig,med,,,Low,10,8,High,2,2,2,0,1,2,,,9
15043,#15043,GN,Valoti 2019,hig,med,hig,hig,hig,hig,,,High,9,6,Low,3,2,2,3,1,3,,,14
15074,#15074,GN,Wang 2005,hig,med,med,low,hig,low,,,Low,7,5,High,3,2,1,0,1,0,,,7
15041,#15041,GN,Wang 2010,low,med,hig,hig,hig,med,,,Low,19,14,High,1,2,2,3,1,2,,,11
15070,#15070,GN,Watson C 2021,hig,med,hig,hig,hig,hig,,,High,2,2,Low,3,2,2,3,1,3,,,14
10007,#10007,GN,Winkler 2010,hig,med,hig,hig,hig,hig,,,High,21,16,Low,3,2,2,3,1,3,,,14
15071,#15071,GN,"Zhang, 2005",low,med,hig,hig,hig,hig,,,Low,6,3,High,1,2,2,3,1,3,,,12
14673,#14673,RS,Basu 2017,med,med,low,hig,hig,hig,,,Low,3,1,High,2,2,0,3,1,3,,,11
14674,#14674,RS,Basu 2018,hig,med,hig,med,hig,low,,,Low,7,7,High,3,2,2,2,1,0,,,10
13854,#13854,RS,Cederholm 2008,hig,med,hig,hig,hig,hig,,,Med,9,9,Med.,3,2,2,3,1,3,,,14
15023,#15023 ,RS,Clarke 2004,hig,med,hig,hig,hig,hig,,,Med,0,0,Med.,3,2,2,3,1,3,,,14
14855,#14855,RS,Cox 2014,hig,med,hig,hig,hig,low,,,Low,7,7,High,3,2,2,3,1,0,,,11
9867,#9867,RS,Cox 2014a,hig,med,hig,hig,hig,med,,,Med,7,7,Med.,3,2,2,3,1,2,,,13
14351,#14351,RS,Davis 2009,med,med,hig,hig,hig,hig,,,Med,0,0,Med.,2,2,2,3,1,3,,,13
14350,#14350,RS,Davis 2010,hig,med,hig,hig,hig,low,,,Low,8,8,High,3,2,2,3,1,0,,,11
2655,#2655,RS,Davis 2020,hig,med,hig,hig,hig,low,,,Low,0,0,High,3,2,2,3,1,0,,,11
13335,#13335,RS,Donnan 2006,hig,med,hig,hig,hig,low,,,Low,10,8,High,3,2,2,3,1,0,,,11
14090,#14090,RS,Elley 2010,hig,med,hig,hig,hig,med,,,Low,11,11,High,3,2,2,3,1,1,,,12
15029,#15029 ,RS,Folsom 2003,hig,med,hig,med,hig,hig,,,Med,0,0,Med.,3,2,2,2,1,3,,,13
13509,#13509,RS,Guzder 2005,hig,med,low,hig,hig,low,,,Low,0,0,High,3,2,0,3,1,0,,,9
13964,#13964,RS,Hamada 2018,hig,med,hig,hig,hig,hig,,,Med,11,10,Med.,3,2,2,3,1,3,,,14
15024,#15024 ,RS,Hayes 2013,hig,med,hig,hig,hig,hig,,,Med,0,0,Med.,3,2,2,3,1,3,,,14
15033,#15033 ,RS,Kengne 2010,hig,med,hig,hig,hig,hig,,,Med,0,0,Med.,3,2,2,3,1,3,,,14
12531,#12531,RS,Kengne 2011,hig,med,hig,hig,hig,low,,,Low,0,0,High,3,2,2,3,1,0,,,11
12221,#12221,RS,Lagani 2015,med,med,hig,low,hig,low,,,Low,0,0,High,2,2,2,0,1,0,,,7
12092,#12092,RS,Li 2018,med,med,hig,hig,hig,low,,,Low,6,4,High,2,2,2,3,1,0,,,10
11852,#11852,RS,McEwan 2015,hig,med,hig,hig,hig,low,,,Low,0,0,High,3,2,2,3,1,0,,,11
11806,#11806,RS,Mentz 2018,hig,med,hig,hig,hig,low,,,Low,0,0,High,3,2,2,3,1,0,,,11
15026,#15026 ,RS,Mukamal 2013,hig,med,hig,hig,hig,hig,,,Med,0,0,Med.,3,2,2,3,1,3,,,14
11010,#11010,RS,Pinias 2014,hig,med,hig,hig,hig,hig,,,Med,0,0,Med.,3,2,2,3,1,3,,,14
11468,#11468,RS,Quan 2019,hig,med,hig,hig,hig,low,,,Low,0,0,High,3,2,2,3,1,0,,,11
957,#957,RS,RamÃ­rez-Prado 2015,med,med,hig,hig,hig,low,,,Low,0,0,High,2,2,2,3,3,0,,,12
15028,#15028 ,RS,Read 2018,hig,med,hig,med,hig,hig,,,Med,0,0,Med.,3,2,2,2,1,3,,,13
10740,#10740,RS,Rossi 2011,hig,med,hig,hig,hig,hig,,,Med,7,5,Med.,3,2,2,3,1,3,,,14
10513,#10513,RS,Shao 2018,hig,med,hig,hig,hig,hig,,,Med,1,0,Med.,3,2,2,3,1,3,,,14
10512,#10512,RS,Shao 2020,med,med,hig,hig,hig,med,,,Low,0,0,High,2,2,2,3,1,2,,,12
15031,#15031 ,RS,Simmons 2009,hig,med,hig,med,hig,hig,,,Med,0,0,Med.,3,2,2,2,1,3,,,13
15022,#15022 ,RS,Stevens 2001,hig,med,hig,hig,hig,hig,,,Med,0,0,Med.,3,2,2,3,1,3,,,14
9719,#9719,RS,Tanaka 2013,hig,med,low,hig,hig,hig,,,Low,0,0,High,3,2,0,3,1,3,,,12
9515,#9515,RS,VenÃ¤lÃ¤inen 2020,med,med,hig,hig,hig,med,,,Low,1,0,High,2,2,2,3,1,2,,,12
9406,#9406,RS,Wan 2018,hig,med,hig,hig,hig,hig,,,Med,1,0,Med.,3,2,2,3,1,3,,,14
182,#182,RS,Wells 2013,hig,med,hig,hig,hig,hig,,,High,0,0,Low,3,2,2,3,3,3,,,16
9980,#9980,RS,Woodward 2016,med,med,hig,hig,hig,low,,,Low,0,0,High,2,2,2,3,1,0,,,10
15030,#15030 ,RS,Yang 2008,low,med,hig,med,hig,hig,,,Low,0,0,High,1,2,2,2,1,3,,,11
102,#102,RS,Yang 2013,med,med,hig,hig,hig,low,,,Low,0,0,High,2,2,2,3,3,0,,,12
10308,#10308,RS,Yeboah 2014,med,med,hig,hig,hig,hig,,,Med,1,0,Med.,2,2,2,3,1,3,,,13
9877,#9877,RS,Yoshida 2012,med,med,hig,hig,hig,hig,,,Med,11,8,Med.,2,2,2,3,1,3,,,13
9875,#9875,RS,Young 2018,hig,med,hig,hig,hig,hig,,,High,1,0,Low,3,2,2,3,3,3,,,16
9865,#9865,RS,Yu 2019,hig,med,hig,hig,hig,med,,,High,1,0,Low,3,2,2,3,3,2,,,15
15025,#15025 ,RS,Zethelius 2011,hig,med,hig,hig,hig,hig,,,Med,0,0,Med.,3,2,2,3,1,3,,,14
58,#58,RS,Zhang 2020,hig,med,hig,hig,hig,hig,,,Med,2,1,Med.,3,2,2,3,1,3,,,14
15032,#15032 ,RS,vanDieren 2011,hig,med,hig,hig,hig,hig,,,Med,0,0,Med.,3,2,2,3,1,3,,,14
10344,#10344,RS,vanderHeijden 2009,hig,med,hig,hig,hig,hig,,,Med,0,0,Med.,3,2,2,3,1,3,,,14
15027,#15027 ,RS,vanderLeeuw 2015,hig,med,hig,med,hig,hig,,,Med,0,0,Med.,3,2,2,2,1,3,,,13
