studynum,study_id,bm_GN_RS,Author_Year,PointQual_Represent012,PointQual_Selection012,PointQual_Exposure012,PointQual_OutcDef012,PointQual_FUPduration012,PointQual_FUPlost012,PointQual_TOTALcov012,PointQual_TOTALtrad012,PointQual_TotalScore012,total_cov,total_trad,BiasRiskTotal,PointQual_Represent,PointQual_Selection,PointQual_Exposure,PointQual_OutcDef,PointQual_FUPduration,PointQual_FUPlost,PointQual_TOTALcov,PointQual_TOTALtrad,PointQual_TotalScore
14001,#14001,BM,Hadaegh 2012,hig,med,hig,hig,hig,med,hig,hig,High,11,9,Low,3,2,2,3,1,2,3,4,20
13980,#13980,BM,Hage 2013,hig,med,hig,hig,hig,hig,low,low,Low,4,3,High,3,2,2,3,1,3,1,0,15
13969,#13969,BM,Halon 2016,low,med,hig,med,hig,hig,low,low,Low,5,3,High,1,2,2,2,1,3,1,0,12
13967,#13967,BM,Halon 2019,hig,med,hig,low,hig,hig,hig,hig,High,13,10,Low,3,2,2,0,1,3,4,6,21
13496,#13496,BM,Hata 2013,med,med,hig,hig,hig,hig,hig,hig,High,15,11,Low,2,2,2,3,1,3,4,6,23
13486,#13486,BM,Hayashi 2013,hig,med,hig,hig,hig,med,hig,med,High,10,8,Low,3,2,2,3,1,2,3,4,20
13467,#13467,BM,Heidari 2015,hig,med,hig,hig,hig,hig,hig,hig,High,12,11,Low,3,2,2,3,1,3,3,6,23
12940,#12940,BM,Hong 2017,med,med,hig,hig,hig,hig,low,low,Low,2,1,High,2,2,2,3,3,3,1,0,16
12911,#12911,BM,Hu 2018,low,med,hig,hig,hig,med,low,low,Low,4,1,High,0,2,2,3,1,1,1,0,10
12873,#12873,BM,Hunt 2018,med,med,hig,hig,hig,hig,hig,hig,High,11,9,Low,2,2,2,3,1,3,3,4,20
12856,#12856,BM,Iijima 2012,med,med,hig,hig,hig,low,med,med,Low,7,6,High,2,2,2,3,1,0,2,2,14
12854,#12854,BM,Ikeda 2009,hig,med,hig,hig,hig,hig,low,low,Low,3,3,High,3,2,2,3,1,3,1,0,15
12834,#12834,BM,Irie 2013,med,med,hig,hig,hig,med,hig,hig,Med,11,9,Med.,2,2,2,3,1,2,3,4,19
13209,#13209,BM,Jeevarethinam 2018,hig,med,hig,hig,hig,med,low,low,Low,5,3,High,3,2,2,3,3,2,1,0,16
13186,#13186,BM,Jha 2018,med,med,hig,hig,hig,med,med,med,Med,7,4,Med.,2,2,2,3,3,2,2,2,18
12771,#12771,BM,Jiang 2004,med,med,hig,hig,hig,hig,hig,med,High,10,7,Low,2,2,2,3,1,3,3,4,20
12765,#12765,BM,Jimenez-Corona 2006,med,med,hig,hig,hig,med,hig,med,Med,10,7,Med.,2,2,2,3,1,2,3,4,19
12762,#12762,BM,Jin 2018,low,med,hig,hig,hig,hig,low,low,Low,5,1,High,1,2,2,3,3,3,1,0,15
12747,#12747,BM,Johnston 2011,hig,med,hig,hig,hig,low,med,med,Low,8,6,High,3,2,2,3,1,0,2,2,15
12654,#12654,BM,Juutilainen 2010,hig,med,hig,hig,hig,hig,hig,hig,High,13,11,Low,3,2,2,3,1,3,4,6,24
12584,#12584,BM,Katakami 2012,low,med,hig,hig,hig,hig,med,med,Med,7,7,Med.,1,2,2,3,1,3,2,4,18
12586,#12586,BM,Katakami 2014,hig,med,hig,hig,hig,hig,hig,hig,High,14,13,Low,3,2,2,3,1,3,4,6,24
12542,#12542,BM,Keller 2018,low,med,hig,hig,hig,low,hig,hig,Med,18,15,Med.,1,2,2,3,1,0,4,6,19
12519,#12519,BM,Khalili 2012,hig,med,hig,hig,hig,med,low,med,Low,4,4,High,3,2,2,3,1,2,1,2,16
12484,#12484,BM,Kim 2018,hig,med,hig,hig,hig,low,hig,hig,High,11,10,Low,3,2,2,3,1,0,3,6,20
12346,#12346,BM,Koch 1997,low,med,hig,hig,hig,low,med,med,Low,7,4,High,1,2,2,3,1,0,2,2,13
12324,#12324,BM,Koo 2020,hig,med,hig,hig,hig,low,hig,hig,High,13,12,Low,3,2,2,3,1,0,4,6,21
12706,#12706,BM,Lau 2012,low,med,hig,med,hig,hig,low,med,Low,5,4,High,1,2,2,2,1,3,1,2,14
12204,#12204,BM,LeFeuvre 2005,hig,med,hig,hig,hig,med,low,low,Low,3,3,High,3,2,2,3,3,2,1,0,16
12160,#12160,BM,Lee 2017,hig,med,hig,hig,hig,med,med,med,Med,7,7,Med.,3,2,2,3,1,2,2,4,19
12150,#12150,BM,Lehto 1996,hig,med,hig,hig,hig,low,low,low,Low,2,2,High,3,2,2,3,1,0,1,0,12
